Author ID,Author Name,Author URL
31997285,Rosa I. Toro,https://www.semanticscholar.org/author/31997285
48479957,T. Nieri,https://www.semanticscholar.org/author/48479957
143816772,F. Fang,https://www.semanticscholar.org/author/143816772
4235481,Vidar Schei,https://www.semanticscholar.org/author/4235481
46571428,M. Selart,https://www.semanticscholar.org/author/46571428
116193663,Zachary B. Massey,https://www.semanticscholar.org/author/116193663
3300203,Claude H. Miller,https://www.semanticscholar.org/author/3300203
116642065,Jais Troian,https://www.semanticscholar.org/author/116642065
66660861,E. Bonetto,https://www.semanticscholar.org/author/66660861
84246623,Florent Varet,https://www.semanticscholar.org/author/84246623
92405661,Mathilde Barbier,https://www.semanticscholar.org/author/92405661
50739956,G. L. Monaco,https://www.semanticscholar.org/author/50739956
103804664,E. Terzuolo,https://www.semanticscholar.org/author/103804664
5516393,Yeshim Iqbal,https://www.semanticscholar.org/author/5516393
104401027,Min Hee Go,https://www.semanticscholar.org/author/104401027
46511891,A. Megias,https://www.semanticscholar.org/author/46511891
116174043,Iga Rzeszewska,https://www.semanticscholar.org/author/116174043
52074570,L. Aguado,https://www.semanticscholar.org/author/52074570
4207179,A. Catena,https://www.semanticscholar.org/author/4207179
112983853,Elvis Nshom,https://www.semanticscholar.org/author/112983853
51493771,S. Croucher,https://www.semanticscholar.org/author/51493771
77452160,A. V. Pottelberge,https://www.semanticscholar.org/author/77452160
11453870,Z. Aytug,https://www.semanticscholar.org/author/11453870
21705774,M. Kern,https://www.semanticscholar.org/author/21705774
50035162,S. Dilchert,https://www.semanticscholar.org/author/50035162
46802941,N. Hou,https://www.semanticscholar.org/author/46802941
1700962,Jinyan Fan,https://www.semanticscholar.org/author/1700962
72437466,J. Tan,https://www.semanticscholar.org/author/72437466
48840310,J. Hua,https://www.semanticscholar.org/author/48840310
40646195,G. Valdez,https://www.semanticscholar.org/author/40646195
7998915,T. Zhang,https://www.semanticscholar.org/author/7998915
116405734,Peter Mesker,https://www.semanticscholar.org/author/116405734
144623093,H. Wassink,https://www.semanticscholar.org/author/144623093
144853434,S. Akkerman,https://www.semanticscholar.org/author/144853434
144184961,C. Bakker,https://www.semanticscholar.org/author/144184961
66997264,Canan Coskan,https://www.semanticscholar.org/author/66997264
66620214,Yasin Duman,https://www.semanticscholar.org/author/66620214
4531713,T. Rua,https://www.semanticscholar.org/author/4531713
101121765,Deborah V. Brazeal,https://www.semanticscholar.org/author/101121765
114234169,Jeanne A. Almaraz,https://www.semanticscholar.org/author/114234169
144695443,Carlos B. Gonzalez,https://www.semanticscholar.org/author/144695443
1429806052,Ann E. Wilson-Daily,https://www.semanticscholar.org/author/1429806052
4860130,M. Kemmelmeier,https://www.semanticscholar.org/author/4860130
114712143,J. Prats,https://www.semanticscholar.org/author/114712143
145191205,D. Grigoryev,https://www.semanticscholar.org/author/145191205
39324139,J. Lameris,https://www.semanticscholar.org/author/39324139
5986508,S. Ruiter,https://www.semanticscholar.org/author/5986508
